timestamp,open,high,low,close,volume
1756764000000,107790.8,108218.1,107586.8,108055,144.334356
1756765800000,108055,108503,107946.3,108439.2,121.527195
1756767600000,108439.2,108799,108422.2,108794.1,124.324464
1756769400000,108794.1,109447.1,108676.2,109239.8,196.973365
1756771200000,109239.8,109338.1,109018.5,109018.5,131.438139
1756773000000,109018.5,109119.5,108888.3,109030,151.060218
1756774800000,109030,109276.6,109017.4,109207.7,145.779184
1756776600000,109207.7,109613.3,108997,109317.2,188.013617
1756778400000,109317.2,109612.8,109175.4,109536.7,129.292463
1756780200000,109536.7,110264,109456,110239.5,267.118888
1756782000000,110239.5,110619.1,110058.1,110158,341.946157
1756783800000,110158,110500,110113.2,110329.5,169.158251
1756785600000,110329.5,110420.5,110222.8,110316.6,103.620398
1756787400000,110316.6,110373,110152,110313.3,123.479973
1756789200000,110313.3,110338.6,110047.2,110150.5,108.098354
1756791000000,110150.5,110311.9,110108,110206.1,71.657744
1756792800000,110206.1,110486,110169.1,110436.5,123.293706
1756794600000,110436.5,110612.7,110339.5,110376.9,141.630929
1756796400000,110376.9,110381.1,110155.9,110242.3,108.518918
1756798200000,110242.3,110396.6,109991.1,110240.8,173.834383
1756800000000,110240.8,110355.2,110049.1,110303.7,145.32332
1756801800000,110303.7,110720.4,110102.7,110360.3,211.733129
1756803600000,110360.3,110693.6,110269.2,110327.6,141.168388
1756805400000,110327.6,110456.3,110258.8,110456.3,98.597066
1756807200000,110456.3,110480.7,110236.4,110243.1,89.069877
1756809000000,110243.1,110347.2,110125.6,110251.4,87.433822
1756810800000,110251.4,110257.1,109888.3,109893.8,115.419013
1756812600000,109893.8,109996.8,109572.3,109732.8,144.952013
1756814400000,109732.8,109844.7,109302.8,109428.3,274.356578
1756816200000,109428.3,109476.2,108383.5,108797.8,519.261185
1756818000000,108797.8,109586.2,108730,109364.4,274.606177
1756819800000,109364.4,111290.8,109037.2,111167.7,981.115484
1756821600000,111167.7,111549.15,110795.4,111478.4,537.071796
1756823400000,111478.4,111776,111120.7,111355.9,424.391528
1756825200000,111355.9,111540.4,110943.4,111268,277.998795
1756827000000,111268,111284.9,110632.2,110832.4,248.407695
1756828800000,110832.4,111133.2,110472.8,110501.2,284.711699
1756830600000,110501.2,110821.5,110501.2,110794.6,253.103007
1756832400000,110794.6,110947.1,110627.5,110869.5,155.673608
1756834200000,110869.5,111052.6,110688.9,110909.6,162.854288
1756836000000,110909.6,110938.3,110402,110478,380.59211
1756837800000,110478,110841.4,110199,110643.2,198.250519
1756839600000,110643.2,110848,110459.4,110511.3,129.132057
1756841400000,110511.3,110835.1,110442.2,110804.2,104.443434
1756843200000,110804.2,111362.8,110713.1,111264.8,168.02637
1756845000000,111264.8,111425.1,111097.2,111414.9,124.784951
1756846800000,111414.9,111548.1,111262.2,111307.8,115.290728
1756848600000,111307.8,111496.4,111130.6,111130.6,55.357855
1756850400000,111130.6,111181.8,110882,111065.1,117.009139
1756852200000,111065.1,111275,110978.1,111273.9,59.683228
1756854000000,111273.9,111284,111062.5,111086.8,47.645627
1756855800000,111086.8,111246.1,111022.5,111246,35.769666
1756857600000,111246,111782.6,111237.8,111649,132.69293
1756859400000,111649,111685.6,111292.7,111339.8,126.722906
1756861200000,111339.8,111408,110947.7,110977.5,62.290134
1756863000000,110977.5,111193.6,110900.1,111168.4,131.753638
1756864800000,111168.4,111400,111024.2,111365.7,171.652709
1756866600000,111365.7,111488.2,111188.3,111374.3,96.622595
1756868400000,111374.3,111407,110977.3,111059.5,96.208526
1756870200000,111059.5,111133.6,110900,111046.3,86.177169
1756872000000,111046.3,111161.8,110845.1,111019.5,78.27316
1756873800000,111019.5,111101.7,110977.1,111023.8,38.020616
1756875600000,111023.8,111074.7,110717.9,110787.9,79.688991
1756877400000,110787.9,110855.9,110668.4,110701.6,54.215037
1756879200000,110701.6,110839.8,110567.2,110814,98.918144
1756881000000,110814,110889,110675.7,110724.8,53.511745
1756882800000,110724.8,110853.4,110540.7,110787,115.268514
1756884600000,110787,111128.9,110787,111100.1,80.239057
1756886400000,111100.1,111285,111054.2,111126.2,135.01297
1756888200000,111126.2,111144.4,110982.2,111027.6,57.00303
1756890000000,111027.6,111280,110900,111134.9,77.676625
1756891800000,111134.9,111330.4,111106.5,111313.5,61.424682
1756893600000,111313.5,111484.6,111163.4,111475.4,111.74662
1756895400000,111475.4,111488.6,111315.3,111451.9,85.182378
1756897200000,111451.9,111721.6,111425,111514.8,163.934325
1756899000000,111514.8,111610,111400,111448,92.835
1756900800000,111448,111630.9,111448,111518.5,100.135104
1756902600000,111518.5,111876.8,111035.1,111118.5,241.051692
1756904400000,111118.5,111488.1,111069.6,111347,141.527976
1756906200000,111347,111923.7,111099.9,111472.5,467.029159
1756908000000,111472.5,111845.1,111112.6,111456.6,379.157153
1756909800000,111456.6,112523.4,111456.6,112275.1,486.689294
1756911600000,112275.1,112386.5,111908.7,111963.4,245.939331
1756913400000,111963.4,112367.2,111941,112229.3,163.049913
1756915200000,112229.3,112355.3,111897.6,111966.3,120.32365
1756917000000,111966.3,112126.1,111679.5,111865.4,132.25839
1756918800000,111865.4,112487.2,111856.4,112450,148.515877
1756920600000,112450,112586.9,112260.5,112312.5,192.139324
1756922400000,112312.5,112528.8,112120.7,112146.6,89.483271
1756924200000,112146.6,112146.7,111789.3,112002,94.442106
1756926000000,112002,112002,111774.6,111916.1,64.693276
1756927800000,111916.1,112240,111787,112196.4,93.944644
1756929600000,112196.4,112255.3,112040,112128.2,67.953407
1756931400000,112128.2,112211.5,112076,112211.5,45.028795
1756933200000,112211.5,112256,112041.6,112095.1,50.398244
1756935000000,112095.1,112104.1,111753.4,111976.1,58.348955
1756936800000,111976.1,112144.4,111955.1,111955.3,49.906592
1756938600000,111955.3,111985,111828.3,111946.9,27.17815
1756940400000,111946.9,111982.3,111771.3,111811,29.45989
1756942200000,111811,111839.6,111614.7,111705,46.313402
1756944000000,111705,112092.7,111605.4,112009.3,109.021019
1756945800000,112009.3,112183.3,111947.9,112063,43.87501
1756947600000,112063,112077.6,111636,111790.2,57.159116
1756949400000,111790.2,112010.1,111769.6,111947.2,68.399912
1756951200000,111947.2,111981.3,111412.2,111416.3,94.877331
1756953000000,111416.3,111705.6,111401.6,111458.5,95.131277
1756954800000,111458.5,111722.5,111307.2,111383.4,121.102928
1756956600000,111383.4,111407.1,111119,111144.1,119.916523
1756958400000,111144.1,111320.7,111106.5,111132,77.504363
1756960200000,111132,111228.8,110912.1,110921.1,75.402702
1756962000000,110921.1,110923.9,110620.6,110811.9,161.345394
1756963800000,110811.9,110869.6,110584.5,110656.6,105.78029
1756965600000,110656.6,110729,110392.5,110529.3,138.786788
1756967400000,110529.3,110529.4,110285.8,110400.7,90.068689
1756969200000,110400.7,110653.7,110346.5,110443,104.591476
1756971000000,110443,110531.9,110356,110463.9,57.180188
1756972800000,110463.9,110800,110401.8,110800,110.372588
1756974600000,110800,110859.2,110619.7,110645.9,57.364109
1756976400000,110645.9,110862.6,110645.9,110807.7,88.44367
1756978200000,110807.7,110860.8,110735.7,110825.9,54.011871
1756980000000,110825.9,111147.2,110773.7,110882.4,103.329338
1756981800000,110882.4,111021.3,110626.4,110626.4,78.362861
1756983600000,110626.4,111057.1,110538.8,110910.7,168.74582
1756985400000,110910.7,111011.7,110799.9,110811.3,69.291254
1756987200000,110811.3,111129.5,110763.7,110889.3,118.277298
1756989000000,110889.3,111030.1,110519.4,110930.4,156.720767
1756990800000,110930.4,110972.4,110700.1,110778.8,89.313373
1756992600000,110778.8,110889.2,110210.6,110467.4,302.818483
1756994400000,110467.4,110529.5,109699.6,109940.7,503.932389
1756996200000,109940.7,110222.2,109838.7,109848,187.65797
1756998000000,109848,109872,109323.5,109508.6,368.241533
1756999800000,109508.6,109646.8,109378.5,109500.2,218.823963
1757001600000,109500.2,109687.4,109392.4,109406.5,166.942594
1757003400000,109406.5,109581.5,109355,109424.9,148.633281
1757005200000,109424.9,109896.9,109415,109803.6,126.360603
1757007000000,109803.6,109915.7,109600.1,109779,81.483996
1757008800000,109779,110192.8,109779,109897.3,147.106964
1757010600000,109897.3,110153.2,109684.9,109968.7,146.941447
1757012400000,109968.7,110109.3,109906.4,110000.2,86.434815
1757014200000,110000.2,110038.2,109712.1,109791.6,116.603017
1757016000000,109791.6,110411,109739.7,110357.5,135.244107
1757017800000,110357.5,110401.9,110258.7,110401.9,79.144668
1757019600000,110401.9,110475.3,110315.2,110411.9,65.922336
1757021400000,110411.9,110538.7,110387.2,110488.4,22.81933
1757023200000,110488.4,110889.9,110472.4,110813.5,72.554311
1757025000000,110813.5,111579.1,110732.4,111483.5,161.73342
1757026800000,111483.5,111749.9,111113.5,111113.6,168.495113
1757028600000,111113.6,111126.2,110609,110723,126.919827
1757030400000,110723,110807.3,110527.9,110698.6,114.695682
1757032200000,110698.6,110934.8,110441.2,110458.4,82.211789
1757034000000,110458.4,110887.9,110454.9,110811.4,108.1964
1757035800000,110811.4,111145.5,110790.8,111121.4,81.345603
1757037600000,111121.4,111461.5,111038.4,111303.3,188.823499
1757039400000,111303.3,111485.4,111228,111342.4,125.901064
1757041200000,111342.4,111342.4,111118,111136.7,82.515349
1757043000000,111136.7,111326.9,111098.4,111319.3,61.66939
1757044800000,111319.3,111359.2,111144,111262.5,53.765772
1757046600000,111262.5,111475.5,111262.5,111441,75.688619
1757048400000,111441,111583.2,111406.4,111528,51.60903
1757050200000,111528,111725.4,111521.9,111586.7,106.617249
1757052000000,111586.7,111669.8,111514.7,111557,146.585902
1757053800000,111557,111915.5,111557,111909.8,134.307964
